2011-01-06	12241
2011-01-08	6001
2011-01-11	12518
2011-01-13	13118
2011-01-15	6356
2011-01-17	11799
2011-01-19	13549
2011-01-20	13477
2011-01-22	7243
2011-01-24	12357
2011-01-26	12903
2011-01-28	12896
2011-01-31	12825
2011-02-01	13609
2011-02-03	13355
2011-02-05	7512
2011-02-07	12330
2011-02-09	14000
2011-02-10	13726
2011-02-12	7239
2011-02-14	12191
2011-02-16	14023
2011-02-18	12914
2011-02-21	12724
2011-02-23	14810
2011-02-25	13229
2011-02-27	7331
2011-03-02	14300
2011-03-04	13927
2011-03-06	7672
2011-03-08	14528
2011-03-11	13246
2011-03-13	7856
2011-03-15	15312
2011-03-17	15073
2011-03-19	7759
2011-03-20	7892
2011-03-22	15951
2011-03-24	15675
2011-03-26	7868
2011-03-28	14669
2011-03-31	16311
2011-04-01	14540
2011-04-03	7822
2011-04-05	16033
2011-04-07	15997
2011-04-09	7548
2011-04-10	8132
2011-04-12	16398
2011-04-14	16665
2011-04-16	7927
2011-04-18	15414
2011-04-21	15697
2011-04-23	7820
2011-04-25	12126
2011-04-27	16986
2011-04-29	13456
2011-04-30	8071
2011-05-02	13603
2011-05-04	16536
2011-05-06	14924
2011-05-08	8105
2011-05-11	16753
2011-05-13	15727
2011-05-15	7874
2011-05-17	16106
2011-05-19	16814
2011-05-20	15200
2011-05-22	7476
2011-05-24	16705
2011-05-26	17053
2011-05-28	8016
2011-05-31	16016
2011-06-01	17432
2011-06-03	15065
2011-06-05	8234
2011-06-07	16418
2011-06-09	17135
2011-06-10	15204
2011-06-12	7964
2011-06-14	16403
2011-06-16	17170
2011-06-18	8263
2011-06-21	16768
2011-06-23	16963
2011-06-25	7651
2011-06-27	15666
2011-06-29	17113
2011-06-30	16933
2011-07-02	7173
2011-07-04	12354
2011-07-06	16935
2011-07-08	16155
2011-07-11	15906
2011-07-13	17552
2011-07-15	15554
2011-07-17	8033
2011-07-19	17304
2011-07-20	17340
2011-07-22	15921
2011-07-24	8186
2011-07-26	17161
2011-07-28	17544
2011-07-31	7450
2011-08-01	15216
2011-08-03	17452
2011-08-05	16489
2011-08-07	8847
2011-08-09	17869
2011-08-10	17588
2011-08-12	16475
2011-08-14	8596
2011-08-16	17254
2011-08-18	18158
2011-08-21	8525
2011-08-23	17223
2011-08-25	18131
2011-08-27	7886
2011-08-29	15026
2011-08-30	16675
2011-09-02	15440
2011-09-04	8030
2011-09-06	16370
2011-09-08	16251
2011-09-11	8214
2011-09-13	17771
2011-09-15	16670
2011-09-17	7930
2011-09-19	15285
2011-09-20	16785
2011-09-22	16853
2011-09-24	7719
2011-09-26	15569
2011-09-28	16581
2011-10-02	7785
2011-10-04	15922
2011-10-06	14615
2011-10-08	7364
2011-10-11	16323
2011-10-13	15676
2011-10-15	7748
2011-10-17	14905
2011-10-19	16913
2011-10-20	16940
2011-10-22	8154
2011-10-24	15869
2011-10-26	16460
2011-10-28	14614
2011-10-31	14566
2011-11-01	15855
2011-11-03	17612
2011-11-05	8528
2011-11-07	15591
2011-11-09	18043
2011-11-10	17453
2011-11-12	8492
2011-11-14	16946
2011-11-16	18882
2011-11-18	17937
2011-11-21	17748
2011-11-23	18600
2011-11-25	14517
2011-11-27	9555
2011-11-29	19126
2011-11-30	18903
2011-12-02	17214
2011-12-04	9095
2011-12-06	18545
2011-12-08	18410
2011-12-11	9695
2011-12-13	19179
2011-12-15	18260
2011-12-17	9084
2011-12-19	16904
2011-12-20	18071
2011-12-22	17002
2011-12-24	7296
2011-12-26	8979
2011-12-28	15018
2011-12-31	8111
2012-01-01	7210
2012-01-03	17745
2012-01-05	20275
2012-01-07	10378
2012-01-09	18300
2012-01-10	19699
2012-01-12	19976
2012-01-14	9236
2012-01-16	17267
2012-01-18	19821
2012-01-21	10537
2012-01-23	18554
2012-01-25	19905
2012-01-27	17845
2012-01-29	10480
2012-01-30	18206
2012-02-02	20800
2012-02-04	10478
2012-02-06	18697
2012-02-08	21509
2012-02-11	11143
2012-02-13	20019
2012-02-15	20847
2012-02-17	19969
2012-02-19	11632
2012-02-20	19151
2012-02-22	21899
2012-02-24	21074
2012-02-26	11741
2012-02-28	22276
2012-03-01	21512
2012-03-03	11077
2012-03-05	19539
2012-03-07	21603
2012-03-09	20254
2012-03-10	10961
2012-03-12	20540
2012-03-14	22739
2012-03-16	20324
2012-03-18	11439
2012-03-21	22931
2012-03-23	19744
2012-03-25	11032
2012-03-27	22259
2012-03-29	22833
2012-03-30	20715
2012-04-02	20698
2012-04-04	23259
2012-04-06	16331
